what,kind,bundleId,bundleVersion,description,time
started,bundle,goclipse,0.7.6.v450,"goclipse",1396214233507
started,bundle,com.python.pydev,2.8.2.2013090511,"com.python.pydev",1396214233508
started,bundle,com.python.pydev.analysis,2.8.2.2013090511,"com.python.pydev.analysis",1396214233508
started,bundle,com.python.pydev.codecompletion,2.8.2.2013090511,"com.python.pydev.codecompletion",1396214233508
started,bundle,com.python.pydev.refactoring,2.8.2.2013090511,"com.python.pydev.refactoring",1396214233508
started,bundle,org.python.pydev,2.8.2.2013090511,"org.python.pydev",1396214233508
started,bundle,org.python.pydev.core,2.8.2.2013090511,"org.python.pydev.core",1396214233508
started,bundle,org.python.pydev.debug,2.8.2.2013090511,"org.python.pydev.debug",1396214233508
started,bundle,org.python.pydev.django,2.8.2.2013090511,"org.python.pydev.django",1396214233508
started,bundle,org.python.pydev.jython,2.8.2.2013090511,"org.python.pydev.jython",1396214233508
started,bundle,org.python.pydev.parser,2.8.2.2013090511,"org.python.pydev.parser",1396214233508
started,bundle,org.python.pydev.refactoring,2.8.2.2013090511,"org.python.pydev.refactoring",1396214233508
started,bundle,org.python.pydev.shared_core,2.8.2.2013090511,"org.python.pydev.shared_core",1396214233508
started,bundle,org.python.pydev.shared_interactive_console,2.8.2.2013090511,"org.python.pydev.shared_interactive_console",1396214233508
started,bundle,org.python.pydev.shared_ui,2.8.2.2013090511,"org.python.pydev.shared_ui",1396214233508
os,sysinfo,,,"win32",1396214233512
arch,sysinfo,,,"x86_64",1396214233512
ws,sysinfo,,,"win32",1396214233512
locale,sysinfo,,,"en_US",1396214233512
processors,sysinfo,,,"2",1396214233513
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1396214233513
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1396214233513
java.specification.name,sysinfo,,,"Java Platform API Specification",1396214233513
java.specification.vendor,sysinfo,,,"Oracle Corporation",1396214233513
java.specification.version,sysinfo,,,"1.7",1396214233513
java.vendor,sysinfo,,,"Oracle Corporation",1396214233513
java.version,sysinfo,,,"1.7.0_03",1396214233513
java.vm.info,sysinfo,,,"mixed mode",1396214233513
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1396214233513
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1396214233513
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1396214233513
java.vm.specification.version,sysinfo,,,"1.7",1396214233513
java.vm.vendor,sysinfo,,,"Oracle Corporation",1396214233513
java.vm.version,sysinfo,,,"22.1-b02",1396214233513
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1396214233797
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1396214237785
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1396214237785
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1396214239500
